Arouca,1
Espinho,2
Gondomar,3
Maia,4
Matosinhos,5
Oliveira de Azemeis,6
Paredes,7
Porto,8
Povoa de Varzim,9
Santa Maria da Feira,10
Santo Tirso,11
Sao Joao da Madeira,12
Trofa,13
Vale de Cambra,14
Valongo,15
Vila do Conde,16
Vila Nova de Gaia,17
